A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
Divine Potion,Regular Amethyst,29,217,122,887,0.03269447576099211,0.24464487034949267,0.1375422773393461,0.9716325451386265,-0.041517280578729686
Fanny Pack,Strong Vampiric Potion,50,878,52,887,0.05636978579481398,0.9898534385569335,0.058624577226606536,0.9713947783423865,-0.0418703636006618
Fanny Pack,Puzzlebag of Ruin,25,878,26,887,0.02818489289740699,0.9898534385569335,0.029312288613303268,0.9713947783423865,-0.0418703636006618
King Crown,Snowball,22,71,283,887,0.02480270574971815,0.08004509582863585,0.31905298759864714,0.9711839944259194,-0.04218344939820335
False Life,Heroic Potion,25,173,132,887,0.02818489289740699,0.19503945885005636,0.1488162344983089,0.9710544753897355,-0.042375862919389426
Flawed Topaz,Strong Demonic Flask,32,232,126,887,0.036076662908680945,0.2615558060879369,0.14205186020293123,0.970990695128626,-0.042470624326424934
Amulet of Darkness,Stamina Sack,117,128,835,887,0.1319052987598647,0.14430665163472378,0.9413754227733935,0.9709861526946107,-0.04247737347694621
Burning Coal,Gloves of Haste,26,214,111,887,0.029312288613303268,0.24126268320180383,0.12514092446448705,0.9708680643260083,-0.04265284030909687
Blueberries,Corrupted Crystal,168,379,405,887,0.18940248027057496,0.42728297632469,0.45659526493799324,0.9708198964135639,-0.04272441886325466
Chipped Emerald,Relic Case,114,228,457,887,0.12852311161217586,0.2570462232243517,0.5152198421645998,0.9704595185995624,-0.043260060757005815
Platinum Customer Card,Relic Case,98,196,457,887,0.1104847801578354,0.2209695603156708,0.5152198421645998,0.9704595185995624,-0.043260060757005815
Health Potion,Relic Case,60,120,457,887,0.06764374295377677,0.13528748590755355,0.5152198421645998,0.9704595185995624,-0.043260060757005815
Cap of Discomfort,Heart Container,87,497,160,887,0.09808342728297632,0.560315670800451,0.18038331454340473,0.9704351106639839,-0.04329634629985632
Jynx torquilla,Poison Frog,25,197,116,887,0.02818489289740699,0.22209695603156707,0.13077790304396844,0.9703745842814633,-0.04338633050815988
Banana,Holy Armor,20,277,66,887,0.02254791431792559,0.31228861330326946,0.07440811724915446,0.970353353024833,-0.04341789621921571
Acorn Collar,Potion Belt,34,39,797,887,0.038331454340473504,0.043968432919954906,0.8985343855693348,0.9702409677315572,-0.04358499730131717
Holdall,Potion Belt,34,39,797,887,0.038331454340473504,0.043968432919954906,0.8985343855693348,0.9702409677315572,-0.04358499730131717
Cauldron,Maneki-neko,45,121,340,887,0.05073280721533258,0.13641488162344984,0.3833145434047351,0.970223626640739,-0.043610782781557555
Doom Cap,Heart Container,28,160,160,887,0.03156708004509583,0.18038331454340473,0.18038331454340473,0.9701562499999999,-0.04371097341605679
Snowball,Stone Shoes,26,283,84,887,0.029312288613303268,0.31905298759864714,0.09470124013528748,0.9701329294968871,-0.04374565316848653
Customer Card,Wolpertinger,21,91,211,887,0.02367531003382187,0.10259301014656144,0.237880496054115,0.9701057236602258,-0.0437861118260575
Burning Coal,Nocturnal Lock Lifter,44,214,188,887,0.0496054114994363,0.24126268320180383,0.21195039458850057,0.970073573275005,-0.04383392514042316
Flawless Sapphire,Stamina Sack,42,46,835,887,0.04735062006764374,0.05186020293122886,0.9413754227733935,0.9699036709190315,-0.04408662633860326
Blueberries,Pocket Sand,46,379,111,887,0.05186020293122886,0.42728297632469,0.12514092446448705,0.9698828115714659,-0.044117654163120884
Platinum Customer Card,Strong Demonic Flask,27,196,126,887,0.030439684329199548,0.2209695603156708,0.14205186020293123,0.9697521865889213,-0.044311971150592294
Cap of Discomfort,Fly Agaric,69,497,127,887,0.0777903043968433,0.560315670800451,0.14317925591882752,0.9696446394904863,-0.04447197725521899
Stone Helm,Stone Skin Potion,24,183,120,887,0.02705749718151071,0.20631341600901917,0.13528748590755355,0.969398907103825,-0.044837638870341076
Flawed Ruby,Stone Armor,23,183,115,887,0.02593010146561443,0.20631341600901917,0.12965050732807215,0.969398907103825,-0.044837638870341076
Amulet of Fortune,Cap of Discomfort,63,116,497,887,0.07102593010146561,0.13077790304396844,0.560315670800451,0.9692812044681883,-0.045012818888878106
Cap of Resilience,Power of the Moon,30,289,95,887,0.033821871476888386,0.3258173618940248,0.10710259301014656,0.9692223638681479,-0.04510040092204427
Cap of Resilience,Moon Shield,42,289,133,887,0.04735062006764374,0.3258173618940248,0.14994363021420518,0.9692223638681478,-0.04510040092204444
Prismatic Orb,Storage Coffin,190,352,494,887,0.21420518602029312,0.3968432919954904,0.5569334836527621,0.9691870629370629,-0.04515294758996322
Amulet of Steel,Mana Orb,45,132,312,887,0.05073280721533258,0.1488162344983089,0.35174746335963925,0.9691870629370628,-0.04515294758996339
Bloodthorne,Flawed Sapphire,21,124,155,887,0.02367531003382187,0.13979706877113868,0.17474633596392333,0.969146722164412,-0.0452129985812887
Poison Frog,Potion Belt,101,116,797,887,0.11386696730552424,0.13077790304396844,0.8985343855693348,0.9690109462207415,-0.045415132065185444
Knife to Meet You,Leather Bag,30,31,886,887,0.033821871476888386,0.03494926719278467,0.9988726042841037,0.968834195004733,-0.04567830903231129
Protective Purse,Vampiric Gloves,106,789,123,887,0.11950394588500564,0.8895152198421646,0.1386696730552424,0.9688295362041072,-0.04568524648843553
Box of Prosperity,Corrupted Crystal,46,104,405,887,0.05186020293122886,0.11724915445321307,0.45659526493799324,0.9687084520417854,-0.04586556555500252
Flawless Amethyst,Potion Belt,47,54,797,887,0.05298759864712514,0.060879368658399095,0.8985343855693348,0.9686556066731725,-0.04594427017523911
Hammer,Potion Belt,47,54,797,887,0.05298759864712514,0.060879368658399095,0.8985343855693348,0.9686556066731725,-0.04594427017523911
Corrupted Crystal,Snake,65,405,147,887,0.07328072153325817,0.45659526493799324,0.1657271702367531,0.968421936675905,-0.04629233527883292
Leaf Badge,Potion Belt,67,77,797,887,0.07553551296505073,0.08680947012401354,0.8985343855693348,0.968387948312666,-0.046342969926536914
Djinn Lamp,Storage Coffin,96,178,494,887,0.10822998872604284,0.20067643742953778,0.5569334836527621,0.968384660874312,-0.046347867528855356
Banana,Strong Stone Skin Potion,26,277,86,887,0.029312288613303268,0.31228861330326946,0.09695603156708005,0.9680967173201243,-0.04677690830913023
Blood Amulet,Glowing Crown,55,223,226,887,0.06200676437429538,0.25140924464487036,0.2547914317925592,0.9679947616968928,-0.04692885450976886
Amulet of the Wild,Cursed Dagger,27,139,178,887,0.030439684329199548,0.15670800450958286,0.20067643742953778,0.9679492361167245,-0.046996707225372976
Chipped Topaz,Flame Badge,23,248,85,887,0.02593010146561443,0.27959413754227735,0.09582863585118377,0.9677893738140416,-0.0472349961665004
Darksaber,Protective Purse,68,79,789,887,0.07666290868094701,0.08906426155580609,0.8895152198421646,0.9676725866743674,-0.04740910263915831
Mrs. Struggles,Relic Case,173,347,457,887,0.19503945885005636,0.39120631341600903,0.5152198421645998,0.9676628052894771,-0.04742368569854216
Garlic,Oil Lamp,37,128,265,887,0.04171364148816235,0.14430665163472378,0.2987598647125141,0.9675412735849057,-0.04760488952054778
Death Scythe,Platinum Customer Card,31,145,196,887,0.03494926719278467,0.16347237880496054,0.2209695603156708,0.9675228712174525,-0.04763232944220358
Banana,Echoing Battlecry,29,277,96,887,0.03269447576099211,0.31228861330326946,0.10822998872604284,0.9673209987966305,-0.047933377341708654
Blueberries,Platinum Customer Card,81,379,196,887,0.09131905298759865,0.42728297632469,0.2209695603156708,0.9671934736955469,-0.04812358510061124
Cap of Discomfort,Mrs. Struggles,188,497,347,887,0.21195039458850057,0.560315670800451,0.39120631341600903,0.9669312706208432,-0.0485147481618459
Storage Coffin,Strong Health Potion,70,494,130,887,0.07891770011273957,0.5569334836527621,0.14656144306651633,0.9668327623793213,-0.04866173336710158
Regular Ruby,Storage Coffin,56,104,494,887,0.06313416009019165,0.11724915445321307,0.5569334836527621,0.966832762379321,-0.0486617333671019
It’s Slime Time!,Storage Coffin,28,52,494,887,0.03156708004509583,0.058624577226606536,0.5569334836527621,0.966832762379321,-0.0486617333671019
Potion Belt,Red Orchid Collar,33,797,38,887,0.03720405862457723,0.8985343855693348,0.04284103720405862,0.9664861652248564,-0.04917901377453988
Poison Spear,Potion Belt,33,38,797,887,0.03720405862457723,0.04284103720405862,0.8985343855693348,0.9664861652248564,-0.04917901377453988
Blood Manipulation,Protective Purse,98,114,789,887,0.1104847801578354,0.12852311161217586,0.8895152198421646,0.966424299023859,-0.04927136576192782
Manathirst,Protective Purse,49,57,789,887,0.0552423900789177,0.06426155580608793,0.8895152198421646,0.966424299023859,-0.04927136576192782
Fanny Pack,Full Body Protection,44,878,46,887,0.0496054114994363,0.9898534385569335,0.05186020293122886,0.966326631672774,-0.049417172654010064
Fanny Pack,Hungry Blade,22,878,23,887,0.02480270574971815,0.9898534385569335,0.02593010146561443,0.966326631672774,-0.049417172654010064
Miss Fortune,Regular Ruby,23,203,104,887,0.02593010146561443,0.22886133032694475,0.11724915445321307,0.9663224706328155,-0.04942338496819156
Moon Shield,Prismatic Orb,51,133,352,887,0.05749718151071026,0.14994363021420518,0.3968432919954904,0.9662722146274778,-0.049498417865927354
Amulet of Energy,Corrupted Crystal,60,136,405,887,0.06764374295377677,0.15332581736189402,0.45659526493799324,0.9662309368191723,-0.04956004911274384
Amulet of Alchemy,Corrupted Crystal,45,102,405,887,0.05073280721533258,0.11499436302142052,0.45659526493799324,0.9662309368191722,-0.049560049112744003
Banana,Poison Frog,35,277,116,887,0.03945885005636979,0.31228861330326946,0.13077790304396844,0.9661707954686917,-0.049649849930730086
King Crown,Protective Purse,61,71,789,887,0.06877113866967305,0.08004509582863585,0.8895152198421646,0.9658687231118013,-0.050100977654190554
Stamina Sack,Strong Mana Potion,40,835,44,887,0.04509582863585118,0.9413754227733935,0.0496054114994363,0.9657049537289059,-0.05034561681028555
Puzzlebag of Improvement,Stamina Sack,20,22,835,887,0.02254791431792559,0.02480270574971815,0.9413754227733935,0.9657049537289059,-0.05034561681028555
Demonic Flask,Maneki-neko,67,181,340,887,0.07553551296505073,0.2040586245772266,0.3833145434047351,0.9656971075723108,-0.050357338462070717
Cap of Resilience,Flute,39,289,124,887,0.043968432919954906,0.3258173618940248,0.13979706877113868,0.965314209175131,-0.050929479724242034
Relic Case,Stone Helm,91,457,183,887,0.10259301014656144,0.5152198421645998,0.20631341600901917,0.9651564611208762,-0.05116525884235211
Heart Container,Storage Coffin,86,160,494,887,0.09695603156708005,0.18038331454340473,0.5569334836527621,0.9651062753036438,-0.05124027746887808
Holo Fire Lizard,Nocturnal Lock Lifter,27,132,188,887,0.030439684329199548,0.1488162344983089,0.21195039458850057,0.9650628626692456,-0.051305174571558504
Maneki-neko,Time Melting,27,340,73,887,0.030439684329199548,0.3833145434047351,0.08229988726042842,0.9649073327961321,-0.051537698553186705
Amulet of Life,Strong Heroic Potion,28,143,180,887,0.03156708004509583,0.161217587373168,0.20293122886133033,0.9648795648795648,-0.05157921674939621
Fanny Pack,Strong Pestilence Flask,106,878,111,887,0.11950394588500564,0.9898534385569335,0.12514092446448705,0.9647437870672494,-0.051782247021201225
Cap of Discomfort,Tim,20,497,37,887,0.02254791431792559,0.560315670800451,0.04171364148816235,0.9647071618902603,-0.05183701800281001
Heart of Darkness,Shelly,23,50,423,887,0.02593010146561443,0.05636978579481398,0.4768883878241263,0.9645862884160756,-0.052017792536597704
Mana Orb,Ruby Chonk,38,312,112,887,0.04284103720405862,0.35174746335963925,0.1262683201803833,0.9645718864468864,-0.05203933317520314
Potion Belt,Regular Sapphire,65,797,75,887,0.07328072153325817,0.8985343855693348,0.08455467869222097,0.9645336679213719,-0.052096497156834204
Ice Armor,Potion Belt,26,30,797,887,0.029312288613303268,0.033821871476888386,0.8985343855693348,0.9645336679213719,-0.052096497156834204
Flawed Topaz,Pocket Sand,28,232,111,887,0.03156708004509583,0.2615558060879369,0.12514092446448705,0.9644299471885679,-0.05225164511901007
Leather Boots,Snowball,28,91,283,887,0.03156708004509583,0.10259301014656144,0.31905298759864714,0.9643924979614025,-0.052307666671910724
Corrupted Crystal,Ruby Whelp,59,405,134,887,0.0665163472378805,0.45659526493799324,0.15107102593010147,0.9643080891837111,-0.052433944566854275
Flawless Amethyst,Storage Coffin,29,54,494,887,0.03269447576099211,0.060879368658399095,0.5569334836527621,0.964275003748688,-0.05248344431951011
Cap of Discomfort,Mr. Struggles,188,497,348,887,0.21195039458850057,0.560315670800451,0.3923337091319053,0.9641527324868753,-0.05266639143231322
Chipped Topaz,Stone Armor,31,248,115,887,0.03494926719278467,0.27959413754227735,0.12965050732807215,0.9641304347826086,-0.052699756643311446
Corrupted Crystal,Pineapple,33,405,75,887,0.03720405862457723,0.45659526493799324,0.08455467869222097,0.9636543209876545,-0.05341237460835042
Frozen Buckler,Protective Purse,24,28,789,887,0.02705749718151071,0.03156708004509583,0.8895152198421646,0.9636067354698533,-0.053483617048842615
Bagtacular,Protective Purse,30,35,789,887,0.033821871476888386,0.03945885005636979,0.8895152198421646,0.9636067354698532,-0.05348361704884278
Divine Potion,Healing Herbs,33,217,140,887,0.03720405862457723,0.24464487034949267,0.15783540022547915,0.9634957208689929,-0.053649835729928194
Blood Amulet,Potion Belt,193,223,797,887,0.21758737316798196,0.25140924464487036,0.8985343855693348,0.9632028177414181,-0.05408848234163232
Mana Orb,Regular Topaz,42,312,124,887,0.04735062006764374,0.35174746335963925,0.13979706877113868,0.9629342431761786,-0.05449081216929948
Cauldron,Toad,47,121,358,887,0.05298759864712514,0.13641488162344984,0.4036076662908681,0.9623943857057112,-0.05529986856014971
Amulet of Alchemy,Cap of Discomfort,55,102,497,887,0.06200676437429538,0.11499436302142052,0.560315670800451,0.962342683552294,-0.05537737570805848
Doom Cap,Oil Lamp,46,160,265,887,0.05186020293122886,0.18038331454340473,0.2987598647125141,0.962311320754717,-0.05542439397984704
Glowing Crown,Star of Courage,38,226,155,887,0.04284103720405862,0.2547914317925592,0.17474633596392333,0.9622038252926062,-0.05558555994477614
Gloves of Haste,Protective Purse,95,111,789,887,0.10710259301014656,0.12514092446448705,0.8895152198421646,0.9621598785096883,-0.05565145373155289
Potion Belt,Star of Courage,134,797,155,887,0.15107102593010147,0.8985343855693348,0.17474633596392333,0.9621402841300036,-0.055680834505873036
Cap of Resilience,Ruby Whelp,42,289,134,887,0.04735062006764374,0.3258173618940248,0.15107102593010147,0.9619893611527138,-0.05590715587862725
Stone Shoes,Storage Coffin,45,84,494,887,0.05073280721533258,0.09470124013528748,0.5569334836527621,0.9618999421631002,-0.056041263732699215
Glowing Crown,Relic Case,112,226,457,887,0.1262683201803833,0.2547914317925592,0.5152198421645998,0.9618713812668228,-0.056084101114589516
Amulet of Energy,Divine Potion,32,136,217,887,0.036076662908680945,0.15332581736189402,0.24464487034949267,0.9617782596909733,-0.056223779393754635
Heavy Drinking,Snowball,27,88,283,887,0.030439684329199548,0.0992108229988726,0.31905298759864714,0.9616527465467396,-0.056412065004646975
Corrupted Crystal,Vampiric Gloves,54,405,123,887,0.060879368658399095,0.45659526493799324,0.1386696730552424,0.9615176151761518,-0.05661480664669454
Doom Cap,False Life,30,160,173,887,0.033821871476888386,0.18038331454340473,0.19503945885005636,0.9613439306358381,-0.05687543261450462
Amulet of Darkness,False Life,24,128,173,887,0.02705749718151071,0.14430665163472378,0.19503945885005636,0.9613439306358381,-0.05687543261450462
Enchanted Weapons,Potion Belt,57,66,797,887,0.06426155580608793,0.07440811724915446,0.8985343855693348,0.9611611725789893,-0.05714972488311987
Mr. Struggles,Regular Amethyst,46,348,122,887,0.05186020293122886,0.3923337091319053,0.1375422773393461,0.9610420199736197,-0.057328583053537885
Amulet of Fortune,Stone Helm,23,116,183,887,0.02593010146561443,0.13077790304396844,0.20631341600901917,0.9610420199736197,-0.057328583053537885
Ace of Spades,Protective Purse,53,62,789,887,0.05975197294250282,0.06989853438556934,0.8895152198421646,0.9610163947831064,-0.057367051536070704
Corrupted Crystal,Star of Courage,68,405,155,887,0.07666290868094701,0.45659526493799324,0.17474633596392333,0.9608283552369573,-0.05764936749482146
Banana,Health Potion,36,277,120,887,0.040586245772266064,0.31228861330326946,0.13528748590755355,0.9606498194945847,-0.05791746591433079
Shelly,Star of Courage,71,423,155,887,0.08004509582863585,0.4768883878241263,0.17474633596392333,0.9605277205826278,-0.05810084458844153
Paradise Birb,Snowball,53,173,283,887,0.05975197294250282,0.19503945885005636,0.31905298759864714,0.9602116056291999,-0.058575721604343906
